DATE_KEY	PRODUCT_TITLE	MAJOR_GENRE_DESC	CUSTOMER_NAME	COUNTRY_CODE	TOTAL_STREAMS
2022-01-04	GHOST TOWN	Pop	Spotify	US	179151
2022-01-04	GHOST TOWN	Pop	Spotify	SE	48499
2022-01-05	GHOST TOWN	Pop	Spotify	HT	52
2022-01-04	GHOST TOWN	Pop	Spotify	BR	8354
2022-01-05	GHOST TOWN	Pop	Spotify	BR	8741
2022-01-05	GHOST TOWN	Pop	Spotify	CH	5810
2022-01-05	GHOST TOWN	Pop	Spotify	NZ	9262
2022-01-06	GHOST TOWN	Pop	Spotify	CA	29778
2022-01-06	GHOST TOWN	Pop	Spotify	MX	7014
2022-01-06	GHOST TOWN	Singer/Songwriter	Spotify	PH	6
2022-01-07	GHOST TOWN	Pop	Spotify	DK	28545
2022-01-07	GHOST TOWN	Singer/Songwriter	Spotify	ZA	14
2022-01-07	GHOST TOWN	Pop	Spotify	NL	88094
2022-01-07	GHOST TOWN	Pop	Spotify	GB	34662
2022-01-07	GHOST TOWN	Singer/Songwriter	Spotify	SA	8
2022-01-08	GHOST TOWN	Singer/Songwriter	Spotify	NL	123
2022-01-08	GHOST TOWN	Pop	Spotify	MX	3650
2022-01-08	GHOST TOWN	Singer/Songwriter	Spotify	LY	1
2022-01-08	GHOST TOWN	Pop	Spotify	MA	349
2022-01-09	GHOST TOWN	Singer/Songwriter	Spotify	US	668
2022-01-09	GHOST TOWN	Pop	Spotify	ID	18285
2022-01-09	GHOST TOWN	Singer/Songwriter	Spotify	ID	15
2022-01-09	GHOST TOWN	Singer/Songwriter	Spotify	SE	114
2022-01-09	GHOST TOWN	Pop	Spotify	NL	73712
2022-01-10	GHOST TOWN	Pop	Spotify	DE	37623
2022-01-10	GHOST TOWN	Singer/Songwriter	Spotify	AU	35
2022-01-10	GHOST TOWN	Singer/Songwriter	Spotify	CA	150
2022-01-10	GHOST TOWN	Singer/Songwriter	Spotify	NL	99
2022-01-10	GHOST TOWN	Pop	Spotify	MX	3828
2022-01-11	GHOST TOWN	Pop	Spotify	GB	35311
2022-01-11	GHOST TOWN	Pop	Spotify	CA	23221
2022-01-11	GHOST TOWN	Singer/Songwriter	Spotify	BR	16
2022-01-11	GHOST TOWN	Singer/Songwriter	Spotify	DK	53
2022-01-11	GHOST TOWN	Singer/Songwriter	Spotify	SE	102
2022-01-11	GHOST TOWN	Singer/Songwriter	Spotify	FI	18
2022-01-12	GHOST TOWN	Pop	Spotify	GB	33960
2022-01-12	GHOST TOWN	Singer/Songwriter	Spotify	GB	53
2022-01-12	GHOST TOWN	Singer/Songwriter	Spotify	DE	85
2022-01-12	GHOST TOWN	Singer/Songwriter	Spotify	SE	99
2022-01-08	GHOST TOWN	Pop	Spotify	AE	546
2022-01-15	GHOST TOWN	Pop	Spotify	IN	9172
2022-01-15	GHOST TOWN	Pop	Spotify	PL	5814
2022-01-16	GHOST TOWN	Pop	Spotify	SG	4446
2022-01-16	GHOST TOWN	Singer/Songwriter	Spotify	TH	10
2022-01-17	GHOST TOWN	Singer/Songwriter	Spotify	AU	30
2022-01-17	GHOST TOWN	Pop	Spotify	FI	7887
2022-01-18	GHOST TOWN	Singer/Songwriter	Spotify	DE	101
2022-01-17	GHOST TOWN	Pop	Spotify	PG	19
2022-01-04	GHOST TOWN	Pop	Spotify	PS	29
