DATE_KEY	PRODUCT_TITLE	MAJOR_GENRE_DESC	CUSTOMER_NAME	COUNTRY_KEY	DAYS_ON_CHART	COUNTRY_CODE
2021-11-14	GHOST TOWN	Pop	Spotify	558		US
2021-11-26	GHOST TOWN	Pop	Spotify	528		NO
2021-10-19	GHOST TOWN	Pop	Spotify	596		NL
2021-11-12	GHOST TOWN	Pop	Spotify	565		SG
2021-11-27	GHOST TOWN	Pop	Spotify	534		MY
2021-11-14	GHOST TOWN	Pop	Spotify	543		SE
2021-12-26	GHOST TOWN	Pop	Spotify	528		NO
2021-10-30	GHOST TOWN	Pop	Spotify	610		CA
2021-10-26	GHOST TOWN	Pop	Spotify	610		CA
2021-12-20	GHOST TOWN	Pop	Spotify	543		SE
2021-12-09	GHOST TOWN	Pop	Spotify	528		NO
2021-12-08	GHOST TOWN	Pop	Spotify	565		SG
2022-02-02	GHOST TOWN	Pop	Spotify	522		BE
2021-10-21	GHOST TOWN	Pop	Spotify	558		US
2022-02-15	GHOST TOWN	Pop	Spotify	530		DK
2021-11-03	GHOST TOWN	Pop	Spotify	565		SG
2021-11-27	GHOST TOWN	Pop	Spotify	561		SA
2021-11-15	GHOST TOWN	Pop	Spotify	618		PY
2021-11-28	GHOST TOWN	Pop	Spotify	579		PT
2021-11-08	GHOST TOWN	Pop	Spotify	613		BR
2022-01-21	GHOST TOWN	Pop	Spotify	543		SE
2021-12-04	GHOST TOWN	Pop	Spotify	625		FI
2022-01-09	GHOST TOWN	Pop	Spotify	549		NZ
2021-11-16	GHOST TOWN	Pop	Spotify	544		AT
2022-02-17	GHOST TOWN	Pop	Spotify	528		NO
2021-11-17	GHOST TOWN	Pop	Spotify	565		SG
2021-11-27	GHOST TOWN	Pop	Spotify	567		TW
2021-11-25	GHOST TOWN	Pop	Spotify	605		ID
2021-11-14	GHOST TOWN	Pop	Spotify	594		BG
2021-10-30	GHOST TOWN	Pop	Spotify	549		NZ
2021-11-19	GHOST TOWN	Pop	Spotify	567		TW
2021-11-05	GHOST TOWN	Pop	Spotify	588		CH
2021-11-19	GHOST TOWN	Pop	Spotify	516		AE
