DATE_KEY	PRODUCT_TITLE	MAJOR_GENRE_DESC	CUSTOMER_NAME	COUNTRY_CODE	TOTAL_STREAMS
2021-12-31	GHOST TOWN	Pop	Spotify	DO	7534
2021-11-30	GHOST TOWN	Pop	Spotify	NL	1844874
2021-12-31	GHOST TOWN	Pop	Spotify	UZ	2819
2021-12-31	GHOST TOWN	Pop	Spotify	EC	13866
2021-12-31	GHOST TOWN	Pop	Spotify	HR	10484
2021-10-31	GHOST TOWN	Pop	Spotify	TT	1441
2021-10-31	GHOST TOWN	Pop	Spotify	GN	10
2021-10-31	GHOST TOWN	Pop	Spotify	US	4050923
2021-10-31	GHOST TOWN	Pop	Spotify	FR	147469
2021-12-31	GHOST TOWN	Pop	Spotify	SI	11156
2021-11-30	GHOST TOWN	Pop	Spotify	ZA	103013
2021-10-31	GHOST TOWN	Pop	Spotify	PS	388
2021-11-30	GHOST TOWN	Pop	Spotify	SB	207
2021-10-31	GHOST TOWN	Pop	Spotify	TZ	606
2021-12-31	GHOST TOWN	Pop	Spotify	PY	7694
2021-12-31	GHOST TOWN	Pop	Spotify	SB	162
2021-11-30	GHOST TOWN	Pop	Spotify	BG	17461
2021-12-31	GHOST TOWN	Pop	Spotify	MW	1226
2021-11-30	GHOST TOWN	Pop	Spotify	KM	24
2021-10-31	GHOST TOWN	Pop	Spotify	PT	36158
2021-12-31	GHOST TOWN	Pop	Spotify	PK	9184
2021-12-31	GHOST TOWN	Pop	Spotify	GY	1109
2021-11-30	GHOST TOWN	Pop	Spotify	SG	320692
2021-10-31	GHOST TOWN	Pop	Spotify	MY	70478
2021-12-31	GHOST TOWN	Pop	Spotify	BG	11265
2021-10-31	GHOST TOWN	Pop	Spotify	VU	6
2021-11-30	GHOST TOWN	Pop	Spotify	OM	3624
2021-12-31	GHOST TOWN	Pop	Spotify	BF	94
2021-12-31	GHOST TOWN	Pop	Spotify	GQ	36
2021-11-30	GHOST TOWN	Pop	Spotify	DE	1969381
