PRODUCT_TITLE	MAJOR_GENRE_DESC	CUSTOMER_NAME	COUNTRY_CODE	TOTAL_STREAMS
Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]	Reggaeton	Spotify	AD	25399
Tiago PZK: Bzrp Music Sessions, Vol. 48	Latin	Spotify	AD	14894
Salimo de Noche	Urban Local	Spotify	AD	8261
Medallo	Latin Pop	Spotify	AD	7314
Tiroteo	Latin	Spotify	AD	6818
Experimento	Latin	Spotify	AD	6686
abcdefu	Pop	Spotify	AD	6591
Loco	Latin	Spotify	AD	6429
Shivers	Pop	Spotify	AD	6219
Bad Habits	Pop	Spotify	AD	5870
Entre Nosotros (Remix) [con Nicki Nicole]	Latin	Spotify	AD	5676
Don't Be Shy	Dance	Spotify	AD	4923
My Universe	Alternative	Spotify	AD	4918
Juramento eterno de sal	Pop	Spotify	AD	4589
Ella	Hip Hop	Spotify	AD	4298
Tu Y Yo (feat. Los del Control)	Rap/Hip Hop	Spotify	AD	4239
The Motto	Dance	Spotify	AD	3932
Libertad	Pop	Spotify	AD	3892
Colorín Colorado	Latin	Spotify	AD	3579
Infinity	Alternative	Spotify	AD	3435
Clima Tropical	Pop	Spotify	AD	3016
Entre Nosotros	Urban Local	Spotify	AD	3000
Llueve sobre mojado	Pop	Spotify	AD	2928
love nwantiti (ah ah ah)	World Music	Spotify	AD	2915
ALMAS GEMELAS	Latin	Spotify	AD	2801
Porfa no te vayas	Pop	Spotify	AD	2697
The Business	Dance	Spotify	AD	2527
SloMo	Pop	Spotify	AD	2338
Levitating (feat. DaBaby)	Pop	Spotify	AD	2306
Thunder	Dance	Spotify	AD	2241
Caminando por la vida	Pop	Spotify	AD	2195
Tu jardín con enanitos	Pop	Spotify	AD	2195
Head & Heart (feat. MNEK)	Dance	Spotify	AD	2140
Light Switch	Pop	Spotify	AD	2132
Soldadito marinero	Pop	Spotify	AD	2103
Don't Start Now	Pop	Spotify	AD	2001
La Botella	Latin	Spotify	AD	1991
Mi Religión	Pop	Spotify	AD	1947
