DATE_KEY	PRODUCT_TITLE	MAJOR_GENRE_DESC	CUSTOMER_NAME	COUNTRY_CODE	TOTAL_STREAMS
2021-10-14	GHOST TOWN	Pop	Spotify	PL	5
2021-10-14	GHOST TOWN	Pop	Spotify	IN	3
2021-10-21	GHOST TOWN	Pop	Spotify	AU	126828
2021-10-21	GHOST TOWN	Pop	Spotify	TH	3145
2021-10-21	GHOST TOWN	Pop	Spotify	TR	2777
2021-10-21	GHOST TOWN	Pop	Spotify	HU	7287
2021-10-21	GHOST TOWN	Pop	Spotify	PE	1944
2021-10-28	GHOST TOWN	Pop	Spotify	NL	358281
2021-10-28	GHOST TOWN	Pop	Spotify	CL	7273
2021-10-28	GHOST TOWN	Pop	Spotify	TR	7492
2021-10-28	GHOST TOWN	Pop	Spotify	AU	197857
2021-10-28	GHOST TOWN	Pop	Spotify	BE	83032
2021-10-28	GHOST TOWN	Pop	Spotify	ES	36308
2021-10-28	GHOST TOWN	Pop	Spotify	GB	449483
2021-10-28	GHOST TOWN	Pop	Spotify	PS	172
2021-11-04	GHOST TOWN	Pop	Spotify	JP	29759
2021-11-04	GHOST TOWN	Pop	Spotify	PE	8078
2021-11-04	GHOST TOWN	Pop	Spotify	CH	69128
2021-11-11	GHOST TOWN	Pop	Spotify	FR	149601
2021-11-11	GHOST TOWN	Pop	Spotify	TN	2211
2021-11-11	GHOST TOWN	Pop	Spotify	NA	536
2021-11-18	GHOST TOWN	Pop	Spotify	CL	24264
2021-11-18	GHOST TOWN	Pop	Spotify	PL	74332
2021-11-18	GHOST TOWN	Pop	Spotify	ME	165
2021-11-25	GHOST TOWN	Pop	Spotify	GR	12451
2021-12-02	GHOST TOWN	Pop	Spotify	ES	65198
2021-12-02	GHOST TOWN	Pop	Spotify	SK	7954
2021-12-09	GHOST TOWN	Pop	Spotify	PH	187172
2021-12-09	GHOST TOWN	Pop	Spotify	MY	55647
2021-12-02	GHOST TOWN	Pop	Spotify	HK	22811
2021-12-09	GHOST TOWN	Pop	Spotify	TW	24344
2021-12-16	GHOST TOWN	Pop	Spotify	AR	14033
2021-12-16	GHOST TOWN	Pop	Spotify	ES	50473
2021-12-23	GHOST TOWN	Pop	Spotify	DE	307089
2021-12-23	GHOST TOWN	Pop	Spotify	CZ	15068
2021-12-23	GHOST TOWN	Pop	Spotify	ZA	15418
2021-12-23	GHOST TOWN	Pop	Spotify	CL	13640
2021-12-02	GHOST TOWN	Pop	Spotify	GQ	9
2021-12-02	GHOST TOWN	Pop	Spotify	GR	10993
2021-10-28	GHOST TOWN	Pop	Spotify	NI	177
2021-12-30	GHOST TOWN	Pop	Spotify	GT	2301
2022-01-06	GHOST TOWN	Pop	Spotify	CA	192762
2021-12-30	GHOST TOWN	Pop	Spotify	DM	30
2021-12-30	GHOST TOWN	Pop	Spotify	SV	1064
2022-01-06	GHOST TOWN	Pop	Spotify	QA	1456
2021-11-04	GHOST TOWN	Pop	Spotify	NO	905996
2021-11-04	GHOST TOWN	Pop	Spotify	MZ	414
2022-01-13	GHOST TOWN	Singer/Songwriter	Spotify	IE	164
2022-01-13	GHOST TOWN	Pop	Spotify	AZ	305
2022-01-13	GHOST TOWN	Pop	Spotify	BA	475
2022-01-20	GHOST TOWN	Pop	Spotify	US	902443
2022-01-20	GHOST TOWN	Singer/Songwriter	Spotify	AT	59
2022-01-20	GHOST TOWN	Pop	Spotify	LB	978
2022-01-20	GHOST TOWN	Pop	Spotify	LK	1073
2022-01-20	GHOST TOWN	Pop	Spotify	LR	16
2022-01-27	GHOST TOWN	Pop	Spotify	CH	35377
2022-02-10	GHOST TOWN	Singer/Songwriter	Spotify	IE	51
2022-02-17	GHOST TOWN	Pop	Spotify	DK	278575
2022-02-24	GHOST TOWN	Singer/Songwriter	Spotify	EC	5
2022-03-03	GHOST TOWN	Singer/Songwriter	Spotify	CO	3
2021-10-21	GHOST TOWN	Pop	Spotify	NZ	39913
2021-11-04	GHOST TOWN	Pop	Spotify	IN	72485
2021-11-11	GHOST TOWN	Pop	Spotify	GB	576448
2021-11-11	GHOST TOWN	Pop	Spotify	SK	10698
2021-11-11	GHOST TOWN	Pop	Spotify	IE	93231
2021-11-25	GHOST TOWN	Pop	Spotify	RU	13649
2021-11-25	GHOST TOWN	Pop	Spotify	EC	4801
2021-11-25	GHOST TOWN	Pop	Spotify	MX	109735
2021-11-25	GHOST TOWN	Pop	Spotify	IL	15587
